ulasan,rating,tanggal,kategori,nama_aplikasi,app_id,label,confidence,label_original
Mantal,5,2026-08-02 11:22:48-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9897857904434204,positif
"tiap abis lama gk pake tokped pasti bug barang di etalase toko favorit ilang, pas di tanya di tokonya produknya ada semua tapi di layar saya ilang smua, tolong di fiks yahh min supaya lebih nyaman kita pakainya.",3,2026-08-02 08:00:22-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.939951479434967,netral
Makasih,5,2026-08-02 06:28:14-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9813950657844543,positif
"Pembayaran menggunakan SALDO TOKOPEDIA yang tersimpan setelah pembatalan pembelian produk tidak dapat dilakukan, dana hanya dapat ditarik, dan proses penarikan menjadi lebih kompleks dengan harus melanpirkan foto KTP dan Rekam Wajah, tidak seperti sebelumnya yang lebih mudah dan sederhana dalam setiap transaksi.",2,2026-08-02 05:40:40-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.6303336024284363,negatif
Pesan instan tapi proses pickup lebih dari sehari. Fitur chat CS susah dan dibuat berkelit!,1,2026-08-02 03:44:50-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9944990873336792,negatif
mudah untuk berbelanja,5,2026-08-02 00:33:04-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9943312406539917,positif
"Terbaik dalam segala hal, terumata apabila ada kendala pembelian",5,2026-08-01 22:48:53-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9607117176055908,positif
Joss jiss,5,2026-08-01 22:36:58-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9942123293876648,positif
"Kepada Pihak yth Tokopedia, saya merasa sangat dikecewakan karena maraknya kasus penipuan. Dan setiap kali ada keluhan ke costumer service… entah mengapa responnya selalu sama “Masih dalam tahap Investigasi” dan proses ini berjalan ber-hari-hari, saya sebagai costumer merasa sangat dirugikan terutama toko para penipu-penipu ini masih saja belum kena sanksi apapun walau telah dilaporkan secara berulang.",1,2026-08-01 16:46:57-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.8754655122756958,negatif
very recomendedd!!,5,2026-08-01 14:58:31-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9947314262390137,positif
Worth it,5,2026-08-01 11:42:55-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9848695993423462,positif
Update tai gak bisa nge search barang di toko,1,2026-08-01 08:31:16-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9872548580169678,negatif
sip,5,2026-08-01 03:38:15-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9766785502433777,positif
Aplikasi bagussss,5,2026-07-31 23:19:38-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9964248538017273,positif
Proses sangat cepat,5,2026-07-31 23:03:00-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9912927746772766,positif
Belanja mudah dan terpecaya ya di tokped!,5,2026-07-31 19:14:24-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9738110303878784,positif
"Voucher plus tiba tiba hilang, gimana sih kok tiba tiba hilang",1,2026-07-31 10:23:30-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9599975347518921,negatif
"Penjualnya gak responsif. Pesanan d batalkan jangka waktu pembatallnya lama sekali. Uang d tarik gak langsung masuk rekening, nunggu ber jam2.",3,2026-07-31 08:12:40-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9964348077774048,netral
okokok,4,2026-07-31 05:20:40-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9816867113113403,positif
👍,5,2026-07-31 04:34:34-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9349059462547302,positif
Versi terbaru 8.8 ga bisa combo pembayaran dengan promo bank. Tolong segera diperbaiki,1,2026-07-30 22:56:10-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.8846491575241089,negatif
"Gak pernah ada Promo,beda dengan Aplikasi ,Orange dan Hitam",1,2026-07-30 22:15:48-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.7600746750831604,negatif
Mantap,5,2026-07-30 19:27:57-07:00,ecommerce,Tokopedia,1001394201.0,positif,0.9971997737884521,positif
Crot,5,2026-07-30 14:11:01-07:00,ecommerce,Tokopedia,1001394201.0,negatif,0.9935629367828369,positif
